Depths,CAL,GR,SP,LLD,LLS,AC,DEN,Liths
1230.0,9.024,98.125,42.416,2.559,2.705,354.523,2.412,Фрбв
1230.125,9.047,98.34,42.473,2.725,2.798,353.892,2.383,Фрбв
1230.25,9.057,97.304,42.481,2.803,2.895,355.155,2.367,Фрбв
1230.375,9.062,96.778,42.5,2.748,2.781,357.051,2.386,Фрбв
1230.5,9.064,98.213,42.459,2.62,2.677,359.721,2.415,Фрбв
1230.625,9.069,100.602,42.505,2.578,2.63,363.349,2.4,Фрбв
1230.75,9.081,102.164,42.599,2.449,2.592,362.914,2.41,Фрбв
1230.875,9.096,101.88,42.678,2.454,2.569,358.222,2.466,Фрбв
1231.0,9.107,100.593,42.77,2.57,2.72,352.991,2.463,Фрбв
1231.125,9.11,99.838,42.689,2.758,2.881,349.526,2.427,ЗлЩАжЪФрбв
1231.25,9.102,99.314,42.527,2.887,2.947,350.101,2.419,ЗлЩАжЪФрбв
1231.375,9.094,97.643,42.356,2.874,2.883,352.045,2.402,ЗлЩАжЪФрбв
1231.5,9.09,96.352,42.146,2.917,2.919,349.472,2.376,ЗлЩАжЪФрбв
1231.625,9.094,96.059,42.028,2.914,2.934,349.511,2.394,ЗлЩАжЪФрбв
1231.75,9.093,96.279,41.952,2.817,2.942,346.696,2.461,ЗлЩАжЪФрбв
1231.875,9.088,96.317,42.008,2.868,2.988,343.749,2.487,ЗлЩАжЪФрбв
1232.0,9.083,96.152,42.0,3.017,3.08,341.358,2.474,ЗлЩАжЪФрбв
1232.125,9.082,95.968,42.03,3.078,3.189,338.383,2.461,ЗлЩАжЪФрбв
1232.25,9.098,96.049,42.12,2.987,3.122,339.097,2.459,ЗлЩАжЪФрбв
1232.375,9.13,97.72,42.181,2.907,3.103,341.209,2.461,ЗлЩАжЪФрбв
1232.5,9.184,100.851,42.314,2.995,3.15,342.099,2.465,ЗлЩАжЪФрбв
1232.625,9.358,103.242,42.428,3.057,3.139,348.689,2.471,ЗлЩАжЪФрбв
1232.75,9.455,102.763,42.542,2.982,3.106,358.111,2.456,ЗлЩАжЪФрбв
1232.875,9.539,99.708,42.599,2.922,3.089,365.435,2.46,ЗлЩАжЪФрбв
1233.0,9.588,97.734,42.617,2.761,2.928,368.823,2.451,ЗлЩАжЪФрбв
1233.125,9.545,98.412,42.614,2.603,2.679,373.448,2.429,Фрбв
1233.25,9.477,100.159,42.553,2.452,2.546,376.127,2.486,Фрбв
1233.375,9.419,100.495,42.544,2.323,2.476,376.098,2.496,Фрбв
1233.5,9.391,99.061,42.58,2.233,2.408,378.762,2.436,Фрбв
1233.625,9.421,97.967,42.594,2.196,2.304,383.61,2.379,Фрбв
1233.75,9.448,97.872,42.757,2.152,2.238,386.856,2.353,Фрбв
1233.875,9.478,97.603,42.87,2.054,2.164,385.443,2.376,Фрбв
1234.0,9.502,97.801,42.869,2.064,2.221,381.479,2.34,Фрбв
1234.125,9.502,99.465,42.908,2.06,2.222,379.041,2.339,Фрбв
